Course Name,Course Code,Rec. Grade,Factor,AP Credit,DCC Credit,UAlbany Credit,Pre-Requiesites,Graduation Requirement,Subject,High School Credits,Cost,Cost Optional?,Semester,2025-2026 Period,2024-2025 Periods,2023-2024 Periods,2022 - 2023 Periods ,Description
Common Core English 9 (Honors),28,9,9,0,0,0,0,English Language,English,,N/A,N/A,A,,,,,"Honors students are expected to read above grade level and to have outstanding work habits. Honors students read rigorous selections of literature and nonfiction to sharpen analytical and critical thinking skills. Close reading, using textual evidence in writing, and developing academic vocabulary are stressed. Clarity and organization in writing are emphasized. Texts covered in class are used as springboards for research."
Common Core English 9 (Regents),29,9,8,0,0,0,0,English Language,English,,N/A,N/A,A,,,,,"This course aims to improve interpretive skill in reading and introduce students to various genres of literature and nonfiction. Close reading and the use of textual evidence in writing and discussion is emphasized. Written work and research projects are connected to the reading. Additionally, students develop the thinking and organizational skills they will need to succeed in the English strand of the high school curriculum."
Communications 1,30,10,8,0,0,0,0,None,English,,N/A,N/A,F,,,,,"This course is designed as an elective. If the student so wishes, this course may be used, in part, to fulfill a fifth English credit for a 5-credit sequence for a Regents diploma. Communications 1 explores communication in written English. Study includes creative writing, writing for the workplace, advertising and journalism. Creative writing assignments include character sketches, short stories, poems, and various creative exercises. Writing for the workplace assignments include resumes, memos and interviews. During the journalism and advertising segments of the course, students write a news story, feature story, column and editorial. Papers are read aloud in class and discussed during the various stages of composition. Students create a portfolio as a final exam."
Communications 2,31,10,8,0,0,0,0,None,English,,N/A,N/A,S,,,,,"Communications 2 develops visual literacy through the study of film, television and online communication. The video production segment of the class includes the “grammar” of video, lighting and camera techniques and the production and shooting of a video script. Students are required to do one research project as well as a final project."
Computer Studies,32,9,8,0,0,0,0,Computer Science,Computer,,N/A,N/A,B,,,,,"This online course is offered to address the National Educational Technology Standards for Students. Unit topics include digital citizenship, research and information fluency, communication and collaboration, creativity and innovation and critical thinking. In the digital citizenship unit students explore their digital footprint, online privacy and security, cyberbullying and creative credit and copyright. In the research and information fluency unit students apply digital tools to gather, evaluate, and use electronic information."
Concert Choir-H,33,10,9,0,0,0,,Fine Arts,Music,,N/A,N/A,A,,,,,"Students are required to complete a successful audition for entry into this ensemble. Students in grade 9 are welcome to audition for entry into the ensemble. If accepted, student enrollment in both Concert Choir and Mixed Chorus is required for the 9th grade year only. Concert Choir is for students who wish to develop their vocal skills, music literacy, and musicianship at an advanced level. Throughout the school year, students will engage in a variety of vocal exercises, sight-reading activities, and ensemble rehearsals aimed at enhancing their literacy, tone quality, blend, and expression. Emphasis will be placed on the development of healthy vocal production techniques including breath support, resonance, and articulation. Weekly music lessons beyond the assigned class period occur on a rotating schedule, i.e. other academic classes could be missed. In addition, students enrolled in Concert Choir may have extra curricular opportunities available to them that may not be available to those enrolled in Mixed Chorus. These opportunities include but are not limited to competitions, school trips, and performance opportunities."
Digital Imaging,34,,8,0,0,0,81 OR 83,Fine Arts,Art,1,N/A,N/A,B,,,,,description
Earth and Space Science,35,8,8,0,0,0,3 OR 8,Regents Science,Science,,N/A,N/A,A,,,,,"High school Earth and Space Science expands upon middle school concepts, integrating disciplinary core ideas with scientific and engineering practices and crosscutting concepts to deepen students' understanding of phenomena central to Earth, space, life, and physical sciences. Students will explore Earth's place in the universe, studying the formation and evolution of celestial systems and their practical effects, such as solar behavior's impact on humans. Additionally, they will examine Earth's systems, focusing on dynamic interactions like plate tectonics, climate change, and energy flow, highlighting the interplay of natural and human-induced changes. Lastly, the students will address Earth and human activity, emphasizing the interdependencies between natural systems and human impacts, such as resource use, natural hazards, and climate change. Across these topics, students engage in modeling, data analysis, argumentation, and problem-solving to develop a comprehensive understanding of Earth's systems and their implications for sustainability."
Economics,36,12,8,0,0,0,0,Humanities,Social Studies,,N/A,N/A,A,,,,,One semester of the grade twelve programs is a course in economics and economic decision making. This course includes the basic economic concepts and understanding which all persons need to function effectively and intelligently as citizens and participants in the economy of the United States and the world. The Economics course will conclude with a locally developed department wide examination.
Economics Honors,37,12,9,0,0,0,0,Humanities,Social Studies,,N/A,N/A,A,,,,,"This course conducts an in-depth analysis of a variety of economic issues and institutions. Examples include analyzing the budget deficit, social policy, and the role of the Federal Reserve in combating inflation and recession. The course also examines how the globalization of the economy will bring competitive pressures and new opportunities. Term papers, projects and reports are part of the requirements. The Economics course will conclude with a locally developed department wide examination. Qualified twelfth grade students will be evaluated based on criteria including, but not limited to, teacher recommendations and performance in prerequisite courses to this program with the approval of the instructor and if room in the class exists."
Elementary Statistics,38,11,8,0,0,0,3 OR 8,Math,Math,,N/A,N/A,A,,,,,"In our data-driven society, an understanding of statistics is an important element of a well-rounded education. Statistics involves the collection, organization and interpretation of data. Students will gather, organize, display and summarize data. They will analyze the results, make predictions and study how to use data to make informed decisions. Topics covered will include: sampling techniques and designs, appropriate graphical representation of data, analysis of center and spread, normal distributions, z-scores, and analysis of bivariate data."
English 12H Dual,39,12,9,0,6,0,14 OR 27,English Language,English,,$218,No,A,,,,,This English 101/102 course gives high school students the opportunity to experience a challenging college level course while still in high school. Qualified students earn high school and college credit concurrently and college credit may be transferrable to most two and four year colleges and universities.
Environmental Sustainability,40,11,8,0,0,0,0,None,Science,,N/A,N/A,A,,,,,"Environmental Sustainability is an honors-level course that is designed to integrate content from Chemistry, Biology, Earth Science and Environmental Science. It is designed to follow one of the introductory engineering courses in the Project Lead the Way curriculum. The course involves finding solutions to real-world problems including: pollution, genetically modified organisms, alternate forms of energy and water quality. Students who maintain an 85 average and achieve mastery on the Project Lead the Way Final Examination are eligible for college credit."
Financial Literacy,41,11,8,0,0,0,3 OR 8,None,Math,,N/A,N/A,A,,,,,"A comprehensive personal finance course for seniors that teaches students how to make thoughtful, well-informed decisions about important aspects of personal finance such as the benefits of saving, benefits of compound interest, and the value and methods of money management. Students are exposed to documents dealing with topics such as taxes, banking, and credit. Students will learn how to establish, monitor, and keep good credit. Students will practice weighing costs and benefits of options through case studies when making choices about such things as budgeting, obtaining student and personal loans, insurance, housing, investments, savings, automobile purchasing and retirement. The course will also teach students to maneuver scams and potential schemes against them. Students practice these skills as they extend their understanding of the essential knowledge defined by the Standards of Learning for Economics and Personal Finance. The course will also include speakers from the community that are financial experts."
Forensic Science,42,10,8,0,0,0,(56 OR 57) AND (85 OR 86),None,Science,,N/A,N/A,A,,,,,"This course is designed to be taken as an elective for students who have fulfilled their regent’s science requirements for graduation. The class meets for one 40-minute period a day, and will consist primarily of lecture and crime scene based labs. In addition to magazine articles and various books, the students will complete independent reading and reports using the Internet and PowerPoint."
French 1,43,8,8,0,0,0,0,Foreign Language,Foreign Language,,N/A,N/A,A,,,,,"The introductory course in French encompasses the four basic skills of listening, speaking, reading and writing. Oral skills are emphasized and the class is largely conducted in French. A basic text is used, along with corresponding audio tapes, and videos for additional language exposure. Vocabulary, grammatical structure and aural/oral practice are the basis of the course, with culture and civilization integrated throughout the year."
French 2,44,9,8,0,0,0,43,Foreign Language,Foreign Language,,N/A,N/A,A,,,,,"Level 2 continues the four-skill approach to language learning (listening, speaking, reading and writing). The pace is accelerated as more advanced grammatical structures and idiomatic expressions are introduced. Cultural readings and activities continue to be integrated into the curriculum. The text is supplemented by corresponding audio cassettes and videos. A final exam is given at the end of the year."
French 3,45,10,8,0,0,0,44,Foreign Language,Foreign Language,,N/A,N/A,A,,,,,"Grammar principles presented in French 2 are reviewed and more advanced grammatical constructions are introduced. In addition, students increase their vocabulary and cultural awareness through the use of reading selections and other authentic materials which are featured in the textbook. Emphasis is also placed on writing of letters and compositions, as well as speaking and reading comprehension in preparation for the Comprehensive exam in June."
French 4H,46,11,9,0,0,0,45,Foreign Language,Foreign Language,,N/A,N/A,A,,,,,"French 4 is an Honors course which is conducted almost entirely in French. Students are expected to participate in class discussions every day and are judged on their individual level of improvement. Readings include authentic texts drawn from newspapers, magazines, on-line periodicals and literature in French. These readings provide students with colloquial vocabulary and a variety of practical, up-to-date topics for class discussions, creative writing and compositions. Grammar instruction includes the compound tenses as well as the subjunctive tense. Other grammatical topics are tailored to the needs of the students as determined by their composition work and communicative skills. A variety of French films are incorporated throughout the year to enhance cultural awareness and vocabulary building."
French 5AP (Advanced Placement),47,12,10,1,0,0,46,Foreign Language,Foreign Language,,$99,No,A,,,,,"AP French (level 5) may be taken for AP (factor 10) or Honors (factor 9) designation. Students who choose to take this course at the AP level must take the French Language and Culture AP examination in May. Students must have the recommendation of their teacher to take the course for the Advanced Placement or Honors designation.  French 5H/AP is a college-level course conducted almost entirely in French. The course material is organized by themes identified by the College Board. Students are required to read authentic texts from a variety of real-world sources including non-fiction and fiction, listen to broadcasts and watch videos in French, write well-organized essays, and do several oral presentations in class. As part of the coursework, students are expected to participate fully in class discussions; seek out and report on articles from French-language periodicals and web-sites, as well as prepare for regular in-class quizzes and examinations. Vocabulary enrichment and grammar accuracy are stressed throughout the year as necessary tools for correct expression in French. Students are exposed to the culture of French -speaking areas and countries around the world. "
Geometry Honors,48,9,9,0,0,0,3,Math,Math,,N/A,N/A,A,,,,,"This course prepares students for the Geometry Regents exam which is required for an Advanced Regents diploma. Students will study congruence, proof and constructions, right triangles and trigonometry, circles, expressing geometric properties with equations, geometric measurement and dimension and modeling with geometry. They will be expected to present valid arguments justified by axioms, definitions and theorems. Additionally, this honors level course deals with some topics in greater depth of study and includes additional topics. "
Geometry in Action,49,11,8,0,0,0,3 OR 8,Math,Math,,N/A,N/A,A,,,,,"This project-based course consists of two units. The Geometry unit covers applications of surface area and volume as well as coordinate geometry. Students will create 3-dimensional shapes, design a package to fit a specific object, study tessellations, and explore transformations. In the second unit, Math Outside the Classroom, students will investigate the mathematics of a variety of topics such as sports, art, architecture, music, nature and photography. The course will conclude with a rubric-based final project and a written exam"
Geometry Regents,50,9,8,0,0,0,3 OR 8,Math,Math,,N/A,N/A,A,,,,,"This course prepares students for the Geometry Regents exam which is required for an Advanced Regents diploma. Students will study congruence, proof and constructions, right triangles and trigonometry, circles, expressing geometric properties with equations, geometric measurement and dimension and modeling with geometry. They will be expected to present valid arguments justified by axioms, definitions and theorems."
Geometry with Lab,51,9,8,0,0,0,3 OR 8,Math,Math,,N/A,N/A,A,,,,,"This course prepares students for the Geometry Regents exam which is required for an Advanced Regents diploma. An attached lab period allows students additional time to explore/discover concepts through labs and hands-on activities. Students will study congruence, proof and constructions, right triangles and trigonometry, circles, expressing geometric properties with equations, geometric measurement and dimension and model with geometry. They will be expected to present valid arguments justified by axioms, definitions and theorems."
Global History and Geography 10,52,10,8,0,0,0,53,None,Social Studies,,N/A,N/A,A,,,,,"The Grade 10 course continues the chronological study of history. It focuses on more recent historical periods beginning with the French Revolution and concluding with the events of the contemporary world. For a diploma, students are required to pass the Regents Examination at the conclusion of Global History 10."
Global History and Geography 9,53,9,8,0,0,0,0,Humanities,Social Studies,,N/A,N/A,A,,,,,Global History 9 covers the first half of a two year study of world history and geography. Grade 9 includes units on basic terms and concepts of social studies and a chronological study of global history from prehistoric humans through the age of absolutism in Europe. The Global History 9 course will conclude with a locally developed department wide examination.
Intermediate Algebra,54,11,8,0,0,0,3 OR 8,Math,Math,,N/A,N/A,A,,,,,"This course is intended for students who are not taking Algebra II but need a third year of study to prepare them for basic college mathematics requirements. Topics will include factoring and solving algebraic equations, functions, rational expressions, radicals, complex numbers, and quadratics. There will be an emphasis on applications of these topics to real life situations. Technology will be used extensively throughout the course. The course will conclude at the end of the semester with a comprehensive final exam. Graphing calculators will be integrated into the curriculum and will be available for in-class use. "
Introduction to Engineering Design,55,9,8,0,0,0,3 OR 8,None,Social Studies,,N/A,N/A,A,,,,,"Introduction to Engineering Design (IED) is a course for all high school students who are interested in pursuing engineering. The major focus of the course is to expose students to the Engineering Design Process, which includes the design, development, and testing of products/solutions. Students will be developing both physical models and digital models via a computer-aided design (CAD) software. Students will also be required to maintain an engineering notebook as part of the course. "
Life Science: Biology (Honors),56,9,9,0,0,0,0,Regents Science,Science,,N/A,N/A,A,,,,,"Honors Biology is faster and more in depth than Regents Biology and will better prepare the students for an A.P. Biology course. This course will cover all of the topics of Regents Biology and fulfill the NYS requirement for Regents science credit in the Living Environment. Highly motivated students planning to continue in the study of the sciences, including taking the A.P. course in Biology or preparing to be science majors in college should consider enrolling. A summer assignment will be required. "
Life Science: Biology (Regents),57,9,8,0,0,0,0,Regents Science,Science,,N/A,N/A,A,,,,,"In life science: biology students will deepen their understanding of key concepts through five overarching topics: structure and function, inheritance and variation of traits, matter and energy in organisms and ecosystems, interdependent relationships in the ecosystem, and natural selection and evolution. Unlike previous standards, the new standards emphasize what students can do, in other words, they are performance-based. Each standard will be explored for the disciplinary core ideas (biology content), science and engineering practice (skills), and cross-cutting concepts (cause and effect)."
Math Science and Technology I and II,58,10,7,0,0,0,0,None,MST,,N/A,N/A,A,,,,,"MST is a hands-on, project based course where students will familiarize themselves with physical and digital tools and techniques through project based assignments. For some assignments, students will have some freedom in choosing their project, further developing skills/knowledge in a topic of their choice. Topics may include woodworking, electronics, puzzle and game design, 3D printing, community service, consumer science, catapults, bottle rockets, food science, and others."
Music Theory,59,9,8,0,0,0,0,Fine Arts,Music,,N/A,N/A,A,,,,,"Music Theory is a course designed for students who seek to enrich their knowledge of music fundamentals, including melody, harmony, rhythm, form and expression. Students will learn more about compositional methods and will compose music using Chromebooks and piano keyboards. This course is highly recommended for those who want to learn more about the building blocks of music."
Nazi Germany and the Holocaust,60,10,8,0,0,0,0,None,Social Studies,,N/A,N/A,A,,,,,"This course seeks to examine the genocide that took place during the Second World War within the larger context of anti-Semitism and racism in Europe. We will trace the origins of anti-Semitism, the National Socialist movement and the rise of Adolf Hitler to supreme power in Germany. In addition, we will study the social and political structure of Nazi Germany as it increasingly excluded undesirable elements from society. The eventual establishment of a Jewish homeland, the search for Nazi war criminals, and the post-war Nuremburg Trials will also be considered. Lastly, the class will embark on an analysis of Neo-Nazism in modern society. "
Orchestra,61,9,8,0,0,0,0,Fine Arts,Music,,N/A,N/A,A,,,,,"Students will continue to develop more advanced playing skills through the performance of literature suggested by New York State School Music Association. Emphasis will be on introducing advanced scales, vibrato, shifting into upper registers, multi meters / complex rhythms, improvisation, professionalism, basic music theory and will meet music standards through the use of NYSSMA-rated repertoire. This is a course for experienced players who have mastered the basic fundamental musical skills of playing a stringed instrument. Students will be assessed based on the demonstration of proper technique and performance on their instrument, including written tests and playing exams. This course will culminate in a locally developed exam."
Participation in Government,62,12,8,0,0,0,0,Humanities,Social Studies,,N/A,N/A,A,,,,,"One semester of the grade twelve programs is a course in Participation in Government. This course emphasizes the interaction between citizens and government at all levels: local, state and federal. The development of student participation in the process of government is encouraged. The Participation in Government course will conclude with a locally developed department wide examination."
Participation in Government Honors Dual,63,12,9,0,3,0,0,Humanities,Social Studies,,$218,Yes,A,,,,,"This course deals with the philosophy, structure, functions and processes of our national government. Topics include the methods of political and historical analysis, the machinery of government, the political process and political behavior. Historical events and personalities in American politics will be used to illustrate the issues and processes of American government. The Participation in Government course will conclude with a locally developed department wide examination. Qualified twelfth grade students will be evaluated based on criteria including, but not limited to, teacher recommendations and performance in prerequisite courses to this program with the approval of the instructor and if room in the class exists."
